episode,reward
1,2.996061191282359
2,-25.79820364253627
3,-28.681865726097072
4,-27.599999999999998
5,-28.09470630012538
6,-29.2
7,-8.86710585650893
8,-16.18950088903589
9,-19.157552186524185
10,19.386110632922993
11,11.94020513270024
12,21.84721891120601
13,21.638206870066206
14,-3.876574535474096
15,21.460805450475963
16,21.63654877082305
17,-7.784774662796165
18,18.634712586406486
19,21.001105901687243
20,21.490572683468436
21,21.506441404346035
22,21.87107120040705
23,21.499676411148055
24,21.666548652337948
25,19.935819543799376
26,21.48964130433159
27,3.0818635505472844
28,21.62226444886151
29,20.887333290407106
30,19.822339407304515
31,20.14601344924542
32,21.93553318336866
33,21.556701037289404
34,12.287507870582441
35,5.269079943072583
36,19.05782494067024
37,21.675438840085747
38,0.6433974824747173
39,7.2999982240574255
40,16.082557273268307
41,23.188878508169942
42,22.14773328022537
43,21.44803853866514
44,-21.583182080939967
45,20.570878838628403
46,22.790297383531456
47,19.85655959027638
48,19.66582595342095
49,21.644866137746135
50,21.682397403817372
51,22.230500432178584
52,20.309353465384934
53,20.496708219356623
54,21.979664077852327
55,21.518904280554946
56,21.469833640473304
57,21.917204922946787
58,21.750904956387078
59,20.086032901531194
60,19.88469463326969
61,19.308571284421944
62,21.763700338337156
63,21.97070989331401
64,7.63648769240434
65,19.794859512849232
66,21.66583227992854
67,21.668100096081996
68,17.545782885856063
69,19.877445460705367
70,-2.7061885214104544
71,22.128625620298443
72,21.472007802560615
73,-17.653676080535313
74,21.746887297665282
75,21.538335909380766
76,21.38331463964082
77,22.93152865506575
78,21.931315520477067
79,19.748410149757767
80,20.257703211998784
81,21.622719822053668
82,19.97640134708123
83,21.282842465121877
84,3.1779922438744155
85,21.536511917595263
86,6.3261616067558615
87,21.487278839936458
88,21.583528976125457
89,21.75548004086987
90,21.674943581657104
91,-1.9200201269836932
92,21.5418399909104
93,19.857320372814787
94,21.560310299895157
95,21.584160201372086
96,21.63042644844399
97,20.66026045907114
98,21.478953065484877
99,21.488129813002587
100,22.14533786459524
101,21.509687841825837
102,18.388986288037685
103,21.621225884316946
104,21.662394638861308
105,21.53119693633158
106,21.584086546271543
107,21.689568096867756
108,21.881774208551615
109,21.90582997883172
110,16.867168223482608
111,21.998152475388583
112,11.060949577635814
113,19.17198204956384
114,21.530521940235307
115,21.60061649573649
116,21.40446593971193
117,21.960038623675263
118,22.40870789837413
119,20.21389715901671
120,19.87911240867314
121,21.76541101701281
122,17.64106884481889
123,21.591504845661195
124,22.425911802959632
125,20.3186573557947
126,20.43903753058161
127,21.89816110302338
128,21.630215826197837
129,18.330014005922415
130,20.183120383199867
131,-22.475900771227064
132,21.678507035227195
133,20.086586494352332
134,22.324756296375647
135,21.765777335251116
136,22.1810920922832
137,21.628810197718675
138,18.507981415850274
139,21.622963757987606
140,7.387215130591707
141,21.724276113865486
142,21.879851023513478
143,17.09742384146146
144,-3.154414217930987
145,13.724659886357795
146,22.170097934263858
147,18.127474626332344
148,10.653795940963336
149,22.377304428376682
150,-25.23680382443305
151,21.47519089424433
152,19.888758171777113
153,20.01458365289916
154,9.056999392215074
155,21.76073403963478
156,20.603062733518872
157,21.80993603188266
158,21.84767767818228
159,19.910137237549403
160,20.899047852490767
161,18.015790220295987
162,21.90543033868763
163,-1.806331862223987
164,21.812227893032553
165,21.651376324398036
166,21.89951405153221
167,-0.7028745976620903
168,21.62018636601399
169,21.789352682014798
170,20.08369273856792
171,21.775958459806436
172,20.118195557532815
173,18.4704619152808
174,19.53122893577494
175,20.89266998060548
176,11.26202149478019
177,14.345574779225748
178,20.834825739600813
179,21.726639525169492
180,21.920810929081043
181,21.601813414869195
182,22.313143137221573
183,21.88371535586394
184,20.08724027432993
185,8.642706267129375
186,18.225146899910666
