step,loss
1,2.50435209274292
2,2.5360405445098877
3,2.523571014404297
4,2.5086796283721924
5,2.5343823432922363
6,2.548999309539795
7,2.5426573753356934
8,2.533085346221924
9,2.5390539169311523
10,2.543867349624634
11,2.518916130065918
12,2.513770818710327
13,2.55442476272583
14,2.5062460899353027
15,2.50020694732666
16,2.4936296939849854
17,2.513317584991455
18,2.510861396789551
19,2.507209539413452
20,2.5178961753845215
21,2.5123343467712402
22,2.525235652923584
23,2.5406196117401123
24,2.5084164142608643
25,2.5337698459625244
26,2.488619565963745
27,2.524796962738037
28,2.4975621700286865
29,2.53961181640625
30,2.4969358444213867
31,2.5151638984680176
32,2.512345790863037
33,2.5003983974456787
34,2.519657611846924
35,2.4914278984069824
36,2.4917404651641846
37,2.5157032012939453
38,2.515734910964966
39,2.503938674926758
40,2.4989113807678223
41,2.506870746612549
42,2.4821157455444336
43,2.5067310333251953
44,2.5070714950561523
45,2.5036492347717285
46,2.5017905235290527
47,2.5062685012817383
48,2.495314598083496
49,2.5200326442718506
50,2.5141677856445312
51,2.5018868446350098
52,2.488495349884033
53,2.4923481941223145
54,2.4958555698394775
55,2.482241630554199
56,2.4743685722351074
57,2.481153964996338
58,2.4739301204681396
59,2.4784703254699707
60,2.495389699935913
61,2.4738783836364746
62,2.4828405380249023
63,2.494142770767212
64,2.474912643432617
65,2.4871015548706055
66,2.4708619117736816
67,2.4706530570983887
68,2.4817512035369873
69,2.4787580966949463
70,2.4783318042755127
71,2.4660229682922363
72,2.4720375537872314
73,2.477083206176758
74,2.4846556186676025
75,2.4706108570098877
76,2.477083206176758
77,2.4841344356536865
78,2.4623756408691406
79,2.453137159347534
80,2.4717953205108643
81,2.4598968029022217
82,2.445370674133301
83,2.467440366744995
84,2.4666805267333984
85,2.448493242263794
86,2.4406721591949463
87,2.4745659828186035
88,2.459933280944824
89,2.4567227363586426
90,2.4594497680664062
91,2.4481759071350098
92,2.440430164337158
93,2.4400558471679688
94,2.471892833709717
95,2.4537343978881836
96,2.4743270874023438
97,2.4537343978881836
98,2.448002815246582
99,2.452153444290161
100,2.4451346397399902
101,2.4525060653686523
102,2.4467616081237793
103,2.435469627380371
104,2.4588828086853027
105,2.4624125957489014
106,2.4447131156921387
107,2.4581210613250732
108,2.4574685096740723
109,2.445889949798584
110,2.4339466094970703
111,2.462054967880249
112,2.4464526176452637
113,2.4599287509918213
114,2.450221300125122
115,2.458796262741089
116,2.4389572143554688
117,2.4544577598571777
118,2.4452764987945557
119,2.450810432434082
120,2.458719253540039
121,2.4406776428222656
122,2.4550514221191406
123,2.426084280014038
124,2.4502625465393066
125,2.452883243560791
126,2.4442954063415527
127,2.438169479370117
128,2.4503448009490967
129,2.4406206607818604
130,2.438127040863037
131,2.447209358215332
132,2.4573330879211426
133,2.448289394378662
134,2.454169273376465
135,2.4329779148101807
136,2.431516408920288
137,2.431516170501709
138,2.431091785430908
139,2.440248489379883
140,2.443108558654785
141,2.437892198562622
142,2.428650379180908
143,2.405672311782837
144,2.4335076808929443
145,2.4404637813568115
146,2.4237380027770996
147,2.4256842136383057
148,2.4339849948883057
149,2.434999704360962
150,2.430605888366699
151,2.413788080215454
152,2.431898355484009
153,2.428365707397461
154,2.416609287261963
155,2.41603946685791
156,2.4132113456726074
157,2.4215121269226074
158,2.420635938644409
159,2.429703712463379
160,2.3993566036224365
161,2.4270529747009277
162,2.438190460205078
163,2.411698341369629
164,2.4222307205200195
165,2.416567325592041
166,2.413435220718384
167,2.412533760070801
168,2.409104824066162
169,2.421078681945801
170,2.413503646850586
171,2.401125431060791
172,2.415949821472168
173,2.412675619125366
174,2.4160757064819336
175,2.424576997756958
176,2.423283815383911
177,2.3843507766723633
178,2.4100418090820312
179,2.401519298553467
180,2.4071836471557617
181,2.4020261764526367
182,2.3977859020233154
183,2.3973183631896973
184,2.390087604522705
185,2.3886120319366455
186,2.393040180206299
187,2.4082367420196533
188,2.4022796154022217
189,2.4109132289886475
190,2.3885746002197266
191,2.4245901107788086
192,2.4012668132781982
193,2.3994131088256836
194,2.4031319618225098
195,2.4025096893310547
196,2.423880100250244
197,2.4047751426696777
198,2.382863759994507
199,2.3816213607788086
200,2.393094301223755
201,2.4726614952087402
202,2.4579200744628906
203,2.4649596214294434
204,2.4516797065734863
205,2.466418504714966
206,2.460521936416626
207,2.4541685581207275
208,2.4552457332611084
209,2.465341329574585
210,2.47184157371521
211,2.474428176879883
212,2.448812484741211
213,2.4498648643493652
214,2.4521121978759766
215,2.4406774044036865
216,2.4476161003112793
217,2.459308624267578
218,2.455886125564575
219,2.468196392059326
220,2.445188045501709
221,2.4424610137939453
222,2.4463300704956055
223,2.4413580894470215
224,2.4533305168151855
225,2.431950092315674
226,2.447587251663208
227,2.441901206970215
228,2.4353291988372803
229,2.448685646057129
230,2.4498233795166016
231,2.4367215633392334
232,2.437141180038452
233,2.4314475059509277
234,2.428755283355713
235,2.4362261295318604
236,2.441223382949829
237,2.4229977130889893
238,2.447146415710449
239,2.419374704360962
240,2.4377691745758057
241,2.426917552947998
242,2.448669195175171
243,2.4583821296691895
244,2.4369983673095703
245,2.4296393394470215
246,2.4186434745788574
247,2.4315567016601562
248,2.4181346893310547
249,2.422168493270874
250,2.412788152694702
251,2.4230189323425293
252,2.3985838890075684
253,2.427685022354126
254,2.4330127239227295
255,2.413770914077759
256,2.4044082164764404
257,2.411721706390381
258,2.4138736724853516
259,2.444254159927368
260,2.423178195953369
261,2.4002130031585693
262,2.422668218612671
263,2.4082083702087402
264,2.4020798206329346
265,2.409963846206665
266,2.3948919773101807
267,2.3953826427459717
268,2.4000489711761475
269,2.3987314701080322
270,2.4030938148498535
271,2.4440033435821533
272,2.372615098953247
273,2.395129442214966
274,2.3828659057617188
275,2.3943588733673096
276,2.4076919555664062
277,2.3946774005889893
278,2.3808066844940186
279,2.371941089630127
280,2.3742117881774902
281,2.380113363265991
282,2.399202823638916
283,2.371408700942993
284,2.3923544883728027
285,2.374199628829956
286,2.3831892013549805
287,2.373812675476074
288,2.3518435955047607
289,2.3856492042541504
290,2.3584232330322266
291,2.4062089920043945
292,2.3730578422546387
293,2.356458902359009
294,2.3570613861083984
295,2.3752388954162598
296,2.375927209854126
297,2.386895179748535
298,2.405113935470581
299,2.3524460792541504
300,2.375598907470703
301,2.3810834884643555
302,2.366016149520874
303,2.3521525859832764
304,2.3722894191741943
305,2.3450582027435303
306,2.337691307067871
307,2.3715624809265137
308,2.37290096282959
309,2.3591833114624023
310,2.377322196960449
311,2.335482120513916
312,2.329496383666992
313,2.360297918319702
314,2.3611178398132324
315,2.368351697921753
316,2.3579812049865723
317,2.329545736312866
318,2.331022024154663
319,2.328967809677124
320,2.3660061359405518
321,2.349825143814087
322,2.3202197551727295
323,2.334275245666504
324,2.3466992378234863
325,2.3242297172546387
326,2.331782341003418
327,2.3256852626800537
328,2.362916946411133
329,2.354154586791992
330,2.3541383743286133
331,2.3213932514190674
332,2.3291029930114746
333,2.3506672382354736
334,2.300518274307251
335,2.3382089138031006
336,2.337409019470215
337,2.3431365489959717
338,2.3493425846099854
339,2.3446574211120605
340,2.335329055786133
341,2.316371440887451
342,2.312647819519043
343,2.3508682250976562
344,2.3332903385162354
345,2.335339307785034
346,2.3248672485351562
347,2.328505754470825
348,2.307694435119629
349,2.3376388549804688
350,2.3149688243865967
351,2.2932591438293457
352,2.362480640411377
353,2.3345298767089844
354,2.321181297302246
355,2.317972183227539
356,2.2984249591827393
357,2.2924506664276123
358,2.303284168243408
359,2.3045971393585205
360,2.2805042266845703
361,2.325141668319702
362,2.28706955909729
363,2.290665864944458
364,2.273047685623169
365,2.294482946395874
366,2.3222572803497314
367,2.337210178375244
368,2.2957851886749268
369,2.2937705516815186
370,2.314105987548828
371,2.292273998260498
372,2.289185047149658
373,2.319127082824707
374,2.2700555324554443
375,2.2912659645080566
376,2.3313045501708984
377,2.3725733757019043
378,2.343221664428711
379,2.2823679447174072
380,2.2626922130584717
381,2.319652795791626
382,2.290048599243164
383,2.3225462436676025
384,2.2804462909698486
385,2.3199591636657715
386,2.279184579849243
387,2.276843547821045
388,2.315735101699829
389,2.2476613521575928
390,2.2705016136169434
391,2.275299310684204
392,2.278681516647339
393,2.316943407058716
394,2.296949863433838
395,2.2488811016082764
396,2.311535596847534
397,2.2753427028656006
398,2.273728370666504
399,2.2486467361450195
400,2.263920545578003
401,2.437032461166382
402,2.4485929012298584
403,2.4827823638916016
404,2.463468313217163
405,2.4608607292175293
406,2.5225818157196045
407,2.4946682453155518
408,2.4855637550354004
409,2.4693400859832764
410,2.456015110015869
411,2.477430820465088
412,2.449080467224121
413,2.433637857437134
414,2.495889186859131
415,2.459315538406372
416,2.444453239440918
417,2.437209129333496
418,2.4738709926605225
419,2.4759483337402344
420,2.464390754699707
421,2.4561681747436523
422,2.4619669914245605
423,2.418288469314575
424,2.4653687477111816
425,2.4673068523406982
426,2.469848394393921
427,2.4655494689941406
428,2.414667844772339
429,2.459933280944824
430,2.4269094467163086
431,2.4355547428131104
432,2.481766700744629
433,2.425093650817871
434,2.4431278705596924
435,2.475127696990967
436,2.4202349185943604
437,2.4191691875457764
438,2.413351058959961
439,2.405813217163086
440,2.396890878677368
441,2.400794744491577
442,2.3764638900756836
443,2.4459805488586426
444,2.414083957672119
445,2.4148271083831787
446,2.3523519039154053
447,2.3939177989959717
448,2.3821053504943848
449,2.4004125595092773
450,2.4070773124694824
451,2.3885440826416016
452,2.3500630855560303
453,2.385835886001587
454,2.380551815032959
455,2.3718760013580322
456,2.3801324367523193
457,2.415048599243164
458,2.3396756649017334
459,2.369155168533325
460,2.3708841800689697
461,2.3644700050354004
462,2.386410713195801
463,2.3649802207946777
464,2.3430163860321045
465,2.332801580429077
466,2.350274085998535
467,2.378298044204712
468,2.3867387771606445
469,2.345485210418701
470,2.371098279953003
471,2.3717408180236816
472,2.372830629348755
473,2.316783905029297
474,2.3723866939544678
475,2.3606925010681152
476,2.3409173488616943
477,2.3259153366088867
478,2.4337785243988037
479,2.347781181335449
480,2.344022750854492
481,2.3199939727783203
482,2.3410725593566895
483,2.3882763385772705
484,2.360788106918335
485,2.3168444633483887
486,2.3523192405700684
487,2.353847026824951
488,2.306340456008911
489,2.325819730758667
490,2.2813515663146973
491,2.3183140754699707
492,2.3179197311401367
493,2.3708930015563965
494,2.3075149059295654
495,2.3403375148773193
496,2.286228895187378
497,2.3456478118896484
498,2.302605628967285
499,2.3227601051330566
500,2.2705376148223877
501,2.2569878101348877
502,2.2804605960845947
503,2.285442590713501
504,2.2560043334960938
505,2.3299267292022705
506,2.2461941242218018
507,2.3322255611419678
508,2.2859017848968506
509,2.298680543899536
510,2.318135976791382
511,2.295417070388794
512,2.2841053009033203
513,2.330409049987793
514,2.286760091781616
515,2.267040252685547
516,2.326392889022827
517,2.314410448074341
518,2.3155436515808105
519,2.254647970199585
520,2.289813756942749
521,2.2656326293945312
522,2.2831451892852783
523,2.305654525756836
524,2.362154722213745
525,2.3122780323028564
526,2.260014533996582
527,2.262646198272705
528,2.247932195663452
529,2.2949607372283936
530,2.233726978302002
531,2.2869064807891846
532,2.2471439838409424
533,2.2786827087402344
534,2.23386812210083
535,2.3195371627807617
536,2.2210025787353516
537,2.252735137939453
538,2.2241454124450684
539,2.2680439949035645
540,2.311037063598633
541,2.301274299621582
542,2.2256219387054443
543,2.227799892425537
544,2.2050516605377197
545,2.241508722305298
546,2.2316784858703613
547,2.2291014194488525
548,2.182046890258789
549,2.2370595932006836
550,2.2472176551818848
551,2.2604527473449707
552,2.3098442554473877
553,2.225691080093384
554,2.245577812194824
555,2.314737558364868
556,2.261145830154419
557,2.3054440021514893
558,2.2133407592773438
559,2.1792023181915283
560,2.297555685043335
561,2.2802634239196777
562,2.2605154514312744
563,2.224114418029785
564,2.260698080062866
565,2.239345073699951
566,2.1906204223632812
567,2.2842204570770264
568,2.225959062576294
569,2.213408946990967
570,2.2809417247772217
571,2.2048227787017822
572,2.17720103263855
573,2.1560654640197754
574,2.231825351715088
575,2.2549381256103516
576,2.235530138015747
577,2.198904037475586
578,2.252243995666504
579,2.190474271774292
580,2.204829216003418
581,2.2064056396484375
582,2.1945295333862305
583,2.166212558746338
584,2.1626136302948
585,2.2204606533050537
586,2.205451488494873
587,2.1876487731933594
588,2.2706024646759033
589,2.2412242889404297
590,2.249089241027832
591,2.1345374584198
592,2.2133853435516357
593,2.112917423248291
594,2.2494707107543945
595,2.294401168823242
596,2.2277419567108154
597,2.2092525959014893
598,2.237323760986328
599,2.2597029209136963
600,2.1915111541748047
601,2.4980416297912598
602,2.4996023178100586
603,2.515437602996826
604,2.466737985610962
605,2.4816713333129883
606,2.522651195526123
607,2.546281337738037
608,2.4407711029052734
609,2.524049758911133
610,2.514169216156006
611,2.468684673309326
612,2.4190640449523926
613,2.4752070903778076
614,2.4941539764404297
615,2.4280757904052734
616,2.4429712295532227
617,2.4632413387298584
618,2.4026637077331543
619,2.3938400745391846
620,2.401991128921509
621,2.4784927368164062
622,2.4235124588012695
623,2.414079427719116
624,2.4623401165008545
625,2.499674081802368
626,2.3972654342651367
627,2.433967351913452
628,2.447211742401123
629,2.3756744861602783
630,2.3990938663482666
631,2.3857789039611816
632,2.3675575256347656
633,2.3897905349731445
634,2.435354709625244
635,2.3770711421966553
636,2.3895277976989746
637,2.3099210262298584
638,2.444927930831909
639,2.3914637565612793
640,2.3538074493408203
641,2.3749606609344482
642,2.3204305171966553
643,2.361645221710205
644,2.3206663131713867
645,2.3535397052764893
646,2.3278870582580566
647,2.323435068130493
648,2.33852481842041
649,2.3931477069854736
650,2.3635950088500977
651,2.316423177719116
652,2.408331871032715
653,2.3256731033325195
654,2.344928503036499
655,2.3740029335021973
656,2.365983247756958
657,2.3334734439849854
658,2.311807155609131
659,2.3366777896881104
660,2.301915407180786
661,2.381714344024658
662,2.3564612865448
663,2.282097816467285
664,2.3415346145629883
665,2.307000160217285
666,2.2521398067474365
667,2.277571678161621
668,2.27082896232605
669,2.3377392292022705
670,2.261439800262451
671,2.2649948596954346
672,2.301771402359009
673,2.3072383403778076
674,2.321437120437622
675,2.304784059524536
676,2.2795000076293945
677,2.2664995193481445
678,2.2735652923583984
679,2.355330228805542
680,2.3357021808624268
681,2.264235019683838
682,2.302288770675659
683,2.2722253799438477
684,2.289543390274048
685,2.184044361114502
686,2.2981443405151367
687,2.290194511413574
688,2.277256488800049
689,2.218691825866699
690,2.210890054702759
691,2.347323417663574
692,2.275003433227539
693,2.3091092109680176
694,2.291053295135498
695,2.234098434448242
696,2.1978142261505127
697,2.305093765258789
698,2.3080081939697266
699,2.2368099689483643
700,2.2638466358184814
701,2.2077317237854004
702,2.271695613861084
703,2.2357497215270996
704,2.136626720428467
705,2.261503219604492
706,2.246161699295044
707,2.263235330581665
708,2.2302606105804443
709,2.241651773452759
710,2.225748062133789
711,2.195526599884033
712,2.186631679534912
713,2.236025333404541
714,2.28035044670105
715,2.243537187576294
716,2.2470946311950684
717,2.2502055168151855
718,2.297574043273926
719,2.1902170181274414
720,2.166118860244751
721,2.184546947479248
722,2.157292127609253
723,2.182124614715576
724,2.1901674270629883
725,2.182439088821411
726,2.1807448863983154
727,2.1762261390686035
728,2.2806057929992676
729,2.2242918014526367
730,2.1525022983551025
731,2.2506465911865234
732,2.3034491539001465
733,2.1981735229492188
734,2.203336238861084
735,2.2263011932373047
736,2.17352032661438
737,2.2056961059570312
738,2.2308247089385986
739,2.1051723957061768
740,2.133100748062134
741,2.1569485664367676
742,2.178691864013672
743,2.1887834072113037
744,2.205077886581421
745,2.158686399459839
746,2.222296953201294
747,2.1066243648529053
748,2.2227184772491455
749,2.2313408851623535
750,2.263000249862671
751,2.1540191173553467
752,2.193829298019409
753,2.130966901779175
754,2.1775026321411133
755,2.1767499446868896
756,2.1600000858306885
757,2.1916723251342773
758,2.248169183731079
759,2.1877336502075195
760,2.21059250831604
761,2.1847732067108154
762,2.168281316757202
763,2.159080743789673
764,2.168670177459717
765,2.148375988006592
766,2.1327757835388184
767,2.2769734859466553
768,2.1877856254577637
769,2.182119846343994
770,2.234300374984741
771,2.123528003692627
772,2.258474349975586
773,2.1942245960235596
774,2.263532876968384
775,2.1551365852355957
776,2.0959930419921875
777,2.185465097427368
778,2.15696382522583
779,2.1050331592559814
780,2.1919164657592773
781,2.17117977142334
782,2.2363898754119873
783,2.273601770401001
784,2.1407699584960938
785,2.1831047534942627
786,2.164475917816162
787,2.1290457248687744
788,2.128230094909668
789,2.1637134552001953
790,2.2135937213897705
791,2.2413575649261475
792,2.1566505432128906
793,2.2045092582702637
794,2.14878511428833
795,2.1203606128692627
796,2.1775104999542236
797,2.1930594444274902
798,2.060805320739746
799,2.145376682281494
800,2.211461305618286
801,2.4649085998535156
802,2.4603195190429688
803,2.478600263595581
804,2.435298442840576
805,2.497250556945801
806,2.458893299102783
807,2.4086389541625977
808,2.4373013973236084
809,2.4201085567474365
810,2.4620373249053955
811,2.445039987564087
812,2.4186012744903564
813,2.513035774230957
814,2.460238456726074
815,2.4385080337524414
816,2.4765772819519043
817,2.4374117851257324
818,2.42543888092041
819,2.4404213428497314
820,2.3406832218170166
821,2.401167869567871
822,2.3725171089172363
823,2.3855373859405518
824,2.3855834007263184
825,2.3788836002349854
826,2.413715124130249
827,2.396275520324707
828,2.3891947269439697
829,2.3307371139526367
830,2.372959613800049
831,2.373340606689453
832,2.3581595420837402
833,2.332176923751831
834,2.324171543121338
835,2.3501012325286865
836,2.3201723098754883
837,2.382866382598877
838,2.2829694747924805
839,2.2705483436584473
840,2.2598674297332764
841,2.2765471935272217
842,2.305278778076172
843,2.2275867462158203
844,2.2288944721221924
845,2.2759647369384766
846,2.345723867416382
847,2.2787864208221436
848,2.2721784114837646
849,2.285079002380371
850,2.2852489948272705
851,2.2437849044799805
852,2.2436556816101074
853,2.22861385345459
854,2.2743515968322754
855,2.2127246856689453
856,2.2748825550079346
857,2.168534755706787
858,2.2650420665740967
859,2.260713815689087
860,2.2042908668518066
861,2.2102582454681396
862,2.187178611755371
863,2.171842575073242
864,2.371917724609375
865,2.2035140991210938
866,2.1472408771514893
867,2.184122085571289
868,2.162372589111328
869,2.173783779144287
870,2.143569231033325
871,2.147040843963623
872,2.27512264251709
873,2.1910436153411865
874,2.1998565196990967
875,2.137925386428833
876,2.185105562210083
877,2.2583394050598145
878,2.192507266998291
879,2.2361130714416504
880,2.134337902069092
881,2.1162478923797607
882,2.1586697101593018
883,2.155263662338257
884,2.109877824783325
885,2.1625359058380127
886,2.114278793334961
887,2.2073352336883545
888,2.2228851318359375
889,2.1796212196350098
890,2.1337473392486572
891,2.248242139816284
892,2.1804802417755127
893,2.133981704711914
894,2.200770378112793
895,2.1660804748535156
896,2.146087408065796
897,2.1673848628997803
898,2.1978495121002197
899,2.192208766937256
900,2.131922721862793
901,2.2093758583068848
902,2.1778035163879395
903,2.1910080909729004
904,2.151622772216797
905,2.111163854598999
906,2.2523679733276367
907,2.1346333026885986
908,2.198704242706299
909,2.158203363418579
910,2.150911331176758
911,2.245574712753296
912,2.17708158493042
913,2.239025354385376
914,2.1320884227752686
915,2.1533892154693604
916,2.1950926780700684
917,2.1852402687072754
918,2.1738507747650146
919,2.149043560028076
920,2.163486957550049
921,2.1180739402770996
922,2.204331398010254
923,2.1945035457611084
924,2.19057297706604
925,2.1295125484466553
926,2.0773208141326904
927,2.049834966659546
928,2.04892897605896
929,2.2058866024017334
930,2.1882524490356445
931,2.1488564014434814
932,2.2045092582702637
933,2.1463000774383545
934,2.22200345993042
935,2.0666630268096924
936,2.1998167037963867
937,2.1481637954711914
938,2.0967583656311035
939,2.1638312339782715
940,2.1321911811828613
941,2.0505480766296387
942,2.21901798248291
943,2.144432544708252
944,2.1338441371917725
945,2.1872191429138184
946,2.0254478454589844
947,2.178788185119629
948,2.211639881134033
949,2.160858154296875
950,2.2530863285064697
951,2.0998375415802
952,2.2117838859558105
953,2.0560553073883057
954,2.2098135948181152
955,2.1118321418762207
956,2.121046543121338
957,2.2737836837768555
958,2.0905606746673584
959,2.151888132095337
960,2.186551570892334
961,2.0906271934509277
962,2.1124777793884277
963,2.2636125087738037
964,2.098879814147949
965,2.1722264289855957
966,2.0929105281829834
967,2.219486713409424
968,2.1617703437805176
